"","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score"
"4","male","group A","associate's degree","free/reduced","none",47,57,44
"14","male","group A","some college","standard","completed",78,72,70
"15","female","group A","master's degree","standard","none",50,53,58
"26","male","group A","master's degree","free/reduced","none",73,74,72
"33","female","group E","master's degree","free/reduced","none",56,72,65
"35","male","group E","some college","standard","none",97,87,82
"36","male","group E","associate's degree","standard","completed",81,81,79
"45","female","group E","associate's degree","free/reduced","none",50,56,54
"47","female","group A","associate's degree","standard","completed",55,65,62
"51","male","group E","some college","standard","none",53,55,48
"52","male","group E","associate's degree","free/reduced","completed",77,69,68
"57","female","group E","associate's degree","standard","completed",82,85,86
"61","male","group E","bachelor's degree","free/reduced","completed",79,74,72
"62","male","group A","some high school","free/reduced","none",39,39,34
"63","male","group A","associate's degree","free/reduced","none",62,61,55
"73","female","group A","associate's degree","free/reduced","none",41,51,48
"77","male","group E","some high school","standard","none",30,26,22
"78","male","group A","bachelor's degree","standard","completed",80,78,81
"80","female","group E","master's degree","standard","none",62,68,68
"83","male","group A","some college","free/reduced","completed",50,47,54
"84","male","group E","associate's degree","standard","none",72,64,63
"89","female","group A","some college","standard","none",58,70,67
"98","female","group E","some college","standard","completed",63,72,70
"108","male","group E","associate's degree","standard","completed",66,63,64
"113","male","group A","associate's degree","standard","none",54,53,47
"115","female","group E","bachelor's degree","standard","completed",99,100,100
"125","male","group E","some college","standard","none",83,80,73
"130","female","group A","bachelor's degree","standard","none",51,49,51
"133","male","group E","some college","free/reduced","completed",87,74,70
"138","male","group E","high school","standard","none",70,55,56
"143","female","group E","some college","free/reduced","completed",42,55,54
"144","male","group A","high school","standard","none",57,43,47
"150","male","group E","associate's degree","free/reduced","completed",100,100,93
"151","male","group A","some high school","standard","completed",62,67,69
"152","male","group A","bachelor's degree","standard","none",77,67,68
"157","female","group E","high school","free/reduced","completed",66,74,78
"162","female","group E","some college","free/reduced","completed",75,88,85
"165","female","group E","master's degree","standard","none",81,92,91
"171","male","group A","high school","standard","completed",72,73,74
"172","male","group E","some high school","standard","none",94,88,78
"183","female","group E","high school","standard","none",50,50,47
"187","male","group E","high school","standard","none",80,76,65
"191","female","group E","associate's degree","standard","none",66,65,69
"198","male","group E","high school","free/reduced","none",55,56,51
